day,fee_tier,volume
2021-06-28 00:00:00.000 UTC,5bp,290300081.0600545
2023-04-29 00:00:00.000 UTC,30bp,3731955.931969654
2023-05-10 00:00:00.000 UTC,5bp,331220525.50575936
2021-05-15 00:00:00.000 UTC,5bp,6413291.82513253
2021-05-25 00:00:00.000 UTC,30bp,519496216.0159086
2022-12-20 00:00:00.000 UTC,5bp,241150703.93274882
2022-02-19 00:00:00.000 UTC,30bp,43347786.63113736
2024-05-28 00:00:00.000 UTC,5bp,312641877.8704225
2021-12-19 00:00:00.000 UTC,5bp,668267313.4986264
2022-05-11 00:00:00.000 UTC,30bp,543725287.178249
2022-05-21 00:00:00.000 UTC,30bp,31648156.71480206
2024-11-04 00:00:00.000 UTC,5bp,156107835.33359697
2021-09-28 00:00:00.000 UTC,30bp,106672407.5999605
2023-08-30 00:00:00.000 UTC,30bp,2452248.835928762
2022-08-18 00:00:00.000 UTC,30bp,38809563.79408629
2024-10-11 00:00:00.000 UTC,5bp,114795650.17725492
2023-05-03 00:00:00.000 UTC,5bp,268110652.57066736
2023-03-06 00:00:00.000 UTC,5bp,226968351.12888455
2025-02-25 00:00:00.000 UTC,30bp,55939707.47352128
2024-08-06 00:00:00.000 UTC,30bp,15403321.44102013
2024-12-08 00:00:00.000 UTC,5bp,79847044.16601457
2024-12-03 00:00:00.000 UTC,30bp,35274611.45977651
2024-03-01 00:00:00.000 UTC,30bp,8706761.277599227
2024-09-17 00:00:00.000 UTC,5bp,127516266.81420402
2021-08-06 00:00:00.000 UTC,5bp,469552971.84245557
2023-12-29 00:00:00.000 UTC,5bp,288492499.47367996
2022-05-26 00:00:00.000 UTC,30bp,174256789.1087399
2023-09-09 00:00:00.000 UTC,5bp,26250676.89637366
2022-08-31 00:00:00.000 UTC,5bp,751090662.4148558
2022-08-26 00:00:00.000 UTC,5bp,602950383.7260811
2024-07-08 00:00:00.000 UTC,5bp,209214977.41726756
2022-04-27 00:00:00.000 UTC,5bp,559656400.3311532
2022-04-03 00:00:00.000 UTC,5bp,511192497.7115924
2023-11-06 00:00:00.000 UTC,5bp,290756838.4593387
2024-08-22 00:00:00.000 UTC,30bp,3314520.345454091
2022-10-18 00:00:00.000 UTC,5bp,384316443.9245883
2021-05-30 00:00:00.000 UTC,5bp,547113.0986094372
2022-12-09 00:00:00.000 UTC,5bp,221090415.59573913
2022-12-04 00:00:00.000 UTC,30bp,13737545.722068055
2021-10-09 00:00:00.000 UTC,30bp,41568342.96266026
2023-01-10 00:00:00.000 UTC,5bp,217026864.75353456
2022-05-10 00:00:00.000 UTC,5bp,1399873791.2437418
2023-02-18 00:00:00.000 UTC,5bp,190195034.7733758
2023-09-20 00:00:00.000 UTC,30bp,4266779.606845814
2024-10-16 00:00:00.000 UTC,5bp,141631733.269263
2022-04-11 00:00:00.000 UTC,5bp,1341480333.4057622
2023-05-22 00:00:00.000 UTC,30bp,4096430.1443292736
2023-11-01 00:00:00.000 UTC,30bp,19129165.768570974
